group,gene,mean_scaled,fraction
Neutrophils,VWF,0.0006970573449507356,0.00441414488204424
Neutrophils,COL1A1,0.01027577556669712,0.016397730802556933
Neutrophils,DCN,0.0038879343774169683,0.007683881831706639
Neutrophils,RGS5,0.00039335174369625747,0.00702993444177416
Neutrophils,ACTA2,0.0,0.011640263540798142
Mast cells,CD3D,0.014642458409070969,0.024602689486552566
Mast cells,CD3E,0.011617163196206093,0.014669926650366748
Mast cells,NKG7,0.054584380239248276,0.04263447432762836
Mast cells,GNLY,0.057463664561510086,0.03040953545232274
Mast cells,CD79A,0.030122796073555946,0.03117359413202934
Mast cells,MS4A1,0.016939247027039528,0.020171149144254278
Mast cells,JCHAIN,0.25763529539108276,0.2797982885085575
Mast cells,MZB1,0.052890803664922714,0.06372249388753057
Mast cells,CD14,0.028394678607583046,0.03942542787286064
Mast cells,LYZ,0.31804159283638,0.31952933985330073
Mast cells,FCGR3B,0.009846478700637817,0.016045232273838632
Mast cells,CSF3R,0.015850666910409927,0.028881418092909537
Mast cells,TPSAB1,1.0,0.9167176039119804
Mast cells,KIT,1.0,0.7275366748166259
Mast cells,EPCAM,0.20742608606815338,0.1378361858190709
Mast cells,KRT18,0.23379844427108765,0.22172982885085574
Mast cells,ALB,0.0,0.009321515892420537
Mast cells,APOA1,0.009707861579954624,0.013141809290953545
Mast cells,PECAM1,0.009411608800292015,0.030103911980440098
Mast cells,VWF,0.01541115902364254,0.01573960880195599
Mast cells,COL1A1,0.028109684586524963,0.035452322738386305
Mast cells,DCN,0.011366856284439564,0.01619804400977995
Mast cells,RGS5,0.027583343908190727,0.0331601466992665
Mast cells,ACTA2,0.011142882518470287,0.022004889975550123
Epithelial cells,CD3D,0.007330970373004675,0.02345136001820945
Epithelial cells,CD3E,0.008558238856494427,0.014955848781238911
Epithelial cells,NKG7,0.012022942304611206,0.023839649735896046
Epithelial cells,GNLY,0.040091510862112045,0.029951865464307472
Epithelial cells,CD79A,0.008752662688493729,0.014098933542206423
Epithelial cells,MS4A1,0.005553239956498146,0.010396791923573873
Epithelial cells,JCHAIN,0.13125228881835938,0.16691771605310196
