cell_type,rank,RES
Fibroblast,462,0.6798562841991341
Fibroblast,463,0.6798386971432073
Fibroblast,464,0.6798211100872805
Fibroblast,465,0.6798035230313537
Fibroblast,466,0.6797859359754269
Fibroblast,467,0.6797683489195001
Fibroblast,468,0.6797507618635733
Fibroblast,469,0.6797331748076465
Fibroblast,470,0.6797155877517197
Fibroblast,471,0.6796980006957929
Fibroblast,472,0.6796804136398661
Fibroblast,473,0.6796628265839393
Fibroblast,474,0.6796452395280125
Fibroblast,475,0.6796276524720857
Fibroblast,476,0.6796100654161589
Fibroblast,477,0.6795924783602321
Fibroblast,478,0.6795748913043053
Fibroblast,479,0.6795573042483785
Fibroblast,480,0.6795397171924517
Fibroblast,481,0.6795221301365248
Fibroblast,482,0.679504543080598
Fibroblast,483,0.6794869560246712
Fibroblast,484,0.6794693689687444
Fibroblast,485,0.6794517819128176
Fibroblast,486,0.6794341948568908
Fibroblast,487,0.679416607800964
Fibroblast,488,0.6793990207450372
Fibroblast,489,0.6793814336891104
Fibroblast,490,0.6793638466331836
Fibroblast,491,0.6793462595772568
Fibroblast,492,0.67932867252133
Fibroblast,493,0.6793110854654032
Fibroblast,494,0.6792934984094764
Fibroblast,495,0.6792759113535496
Fibroblast,496,0.6908742074038648
Fibroblast,497,0.690856620347938
Fibroblast,498,0.6908390332920112
Fibroblast,499,0.6908214462360844
Fibroblast,500,0.6908038591801576
Fibroblast,501,0.6907862721242308
Fibroblast,502,0.690768685068304
Fibroblast,503,0.6907510980123772
Fibroblast,504,0.6907335109564504
Fibroblast,505,0.6907159239005236
Fibroblast,506,0.702166867275476
Fibroblast,507,0.7021492802195491
Fibroblast,508,0.7021316931636223
Fibroblast,509,0.7021141061076955
Fibroblast,510,0.7020965190517687
Fibroblast,511,0.7020789319958419
Fibroblast,512,0.7020613449399151
Fibroblast,513,0.7020437578839883
Fibroblast,514,0.7020261708280615
Fibroblast,515,0.7020085837721347
Fibroblast,516,0.7019909967162079
Fibroblast,517,0.7019734096602811
Fibroblast,518,0.7019558226043543
Fibroblast,519,0.7019382355484275
Fibroblast,520,0.7019206484925007
Fibroblast,521,0.7019030614365739
Fibroblast,522,0.7018854743806471
Fibroblast,523,0.7018678873247203
Fibroblast,524,0.7018503002687935
Fibroblast,525,0.7018327132128667
Fibroblast,526,0.7018151261569399
Fibroblast,527,0.7130538259204183
Fibroblast,528,0.7130362388644915
Fibroblast,529,0.7130186518085647
Fibroblast,530,0.7130010647526379
Fibroblast,531,0.7129834776967111
Fibroblast,532,0.7129658906407843
Fibroblast,533,0.7129483035848575
Fibroblast,534,0.7129307165289307
Fibroblast,535,0.7129131294730039
Fibroblast,536,0.7128955424170771
Fibroblast,537,0.7128779553611503
Fibroblast,538,0.7128603683052235
Fibroblast,539,0.7128427812492967
Fibroblast,540,0.7128251941933699
Fibroblast,541,0.7128076071374431
Fibroblast,542,0.7127900200815163
Fibroblast,543,0.7127724330255895
Fibroblast,544,0.7127548459696627
Fibroblast,545,0.7127372589137358
Fibroblast,546,0.712719671857809
Fibroblast,547,0.7127020848018822
Fibroblast,548,0.7126844977459554
Fibroblast,549,0.7126669106900286
Fibroblast,550,0.7126493236341018
Fibroblast,551,0.712631736578175
Fibroblast,552,0.7126141495222482
Fibroblast,553,0.7125965624663214
Fibroblast,554,0.723587920180109
Fibroblast,555,0.7235703331241822
Fibroblast,556,0.7235527460682554
Fibroblast,557,0.7235351590123286
Fibroblast,558,0.7235175719564018
Fibroblast,559,0.723499984900475
Fibroblast,560,0.7234823978445482
Fibroblast,561,0.7234648107886213
Fibroblast,562,0.7234472237326945
Fibroblast,563,0.7234296366767677
Fibroblast,564,0.7234120496208409
Fibroblast,565,0.7233944625649141
Fibroblast,566,0.7233768755089873
Fibroblast,567,0.7233592884530605
Fibroblast,568,0.7233417013971337
Fibroblast,569,0.7233241143412069
Fibroblast,570,0.7233065272852801
Fibroblast,571,0.7232889402293533
Fibroblast,572,0.7232713531734265
Fibroblast,573,0.7232537661174997
Fibroblast,574,0.7232361790615729
Fibroblast,575,0.7232185920056461
Fibroblast,576,0.7232010049497193
Fibroblast,577,0.7231834178937925
Fibroblast,578,0.7231658308378657
Fibroblast,579,0.7231482437819389
Fibroblast,580,0.7231306567260121
Fibroblast,581,0.7231130696700853
Fibroblast,582,0.7230954826141585
Fibroblast,583,0.7230778955582317
Fibroblast,584,0.7230603085023048
Fibroblast,585,0.723042721446378
Fibroblast,586,0.7230251343904512
Fibroblast,587,0.7230075473345244
Fibroblast,588,0.7229899602785976
Fibroblast,589,0.7229723732226708
Fibroblast,590,0.722954786166744
Fibroblast,591,0.7229371991108172
Fibroblast,592,0.7229196120548904
Fibroblast,593,0.7229020249989636
Fibroblast,594,0.7228844379430368
Fibroblast,595,0.72286685088711
Fibroblast,596,0.7228492638311832
Fibroblast,597,0.7228316767752564
Fibroblast,598,0.7228140897193296
Fibroblast,599,0.7227965026634028
Fibroblast,600,0.722778915607476
Fibroblast,601,0.7227613285515492
Fibroblast,602,0.7227437414956224
Fibroblast,603,0.7227261544396956
Fibroblast,604,0.7227085673837688
Fibroblast,605,0.722690980327842
Fibroblast,606,0.7226733932719152
Fibroblast,607,0.7226558062159883
Fibroblast,608,0.7226382191600615
Fibroblast,609,0.7226206321041347
Fibroblast,610,0.7226030450482079
Fibroblast,611,0.7225854579922811
Fibroblast,612,0.7225678709363543
Fibroblast,613,0.7225502838804275
Fibroblast,614,0.7225326968245007
Fibroblast,615,0.7225151097685739
Fibroblast,616,0.7224975227126471
Fibroblast,617,0.7224799356567203
Fibroblast,618,0.7224623486007935
Fibroblast,619,0.7224447615448667
Fibroblast,620,0.7224271744889399
Fibroblast,621,0.7224095874330131
Fibroblast,622,0.7223920003770863
Fibroblast,623,0.7223744133211595
Fibroblast,624,0.7223568262652327
Fibroblast,625,0.7223392392093059
Fibroblast,626,0.7223216521533791
Fibroblast,627,0.7223040650974523
Fibroblast,628,0.7222864780415255
Fibroblast,629,0.7222688909855987
Fibroblast,630,0.7222513039296719
Fibroblast,631,0.722233716873745
Fibroblast,632,0.7222161298178182
Fibroblast,633,0.7221985427618914
Fibroblast,634,0.7221809557059646
Fibroblast,635,0.7221633686500378
Fibroblast,636,0.722145781594111
Fibroblast,637,0.7221281945381842
Fibroblast,638,0.7221106074822574
Fibroblast,639,0.7220930204263306
Fibroblast,640,0.7220754333704038
Fibroblast,641,0.722057846314477
Fibroblast,642,0.7220402592585502
Fibroblast,643,0.7220226722026234
Fibroblast,644,0.7220050851466966
Fibroblast,645,0.7219874980907698
Fibroblast,646,0.721969911034843
Fibroblast,647,0.7219523239789162
Fibroblast,648,0.7219347369229894
Fibroblast,649,0.7219171498670626
Fibroblast,650,0.7218995628111358
Fibroblast,651,0.721881975755209
Fibroblast,652,0.7218643886992822
Fibroblast,653,0.7218468016433554
Fibroblast,654,0.7218292145874285
Fibroblast,655,0.7218116275315017
Fibroblast,656,0.7217940404755749
