cell,phase,gene,coefC_base,coefC_perm1,coefC_perm2,coefC_perm3,coefC_perm4,coefC_perm5,coefC_perm6,range_across_labellings,sign_flips
MoMac,post,PGC,-0.13669445788312315,-0.10009527286230943,-0.11150020790093668,0.03522830881572721,-0.0020550665044078713,-0.16575925804423855,0.060422558797913896,0.22618181684215244,1
MoMac,post,PPIA,0.21684211870846573,0.1269195654666729,-0.2456255820329403,-0.09105103219927344,0.43072018301636356,-0.15224378869605568,-0.5535187329406799,0.9842389159570435,1
MoMac,post,PPP1R15A,-0.25337055955022275,-0.23286451181583448,0.15396737413235098,-0.1047405692644589,0.3648908234207004,0.41932211720569207,0.30259736441811447,0.6726926767559148,1
MoMac,post,PSAP,-0.5088408312266752,-0.08133217503465293,-0.8608485039938165,0.043326626512403016,0.11068270802156258,-0.4416270998949537,-0.3086810462547381,0.9715312120153791,1
MoMac,post,PSMA7,-0.04115139976954886,0.023077402086499426,-0.29387601433467503,-0.4116743284098541,-0.2765787075895419,-0.39870964316757496,-0.6643989429749808,0.6874763450614803,1
MoMac,post,PTMA,-0.40844061577357454,-0.15490170461008523,-0.295981436954678,-0.24675381244592653,-0.24799866350471186,-0.08357818935717115,-0.13429463362703012,0.3248624264164034,0
MoMac,post,RACK1,0.2203221978900654,0.31922449928036145,0.014044589345102094,0.153933543637071,0.048311017611862905,0.22223596500241619,-0.05234406490789231,0.3715685641882538,1
MoMac,post,REG4,-0.2464211359585694,0.21765644164415182,-0.23118347108528386,-0.07201767387877706,0.23969402339834286,0.15523149632571978,-0.05678000900549201,0.4861151593569123,1
MoMac,post,RGS1,-0.4526626686210209,-0.3916328144681354,-0.21804268545836078,-0.16164886255170183,-0.45920505819948826,-0.3704861939322339,0.07297112061095803,0.5321761788104463,1
MoMac,post,RPL10,0.007010015243640105,0.22507108936021586,-0.14374398236173383,0.17301516320935487,0.019592399071916965,0.327430676596954,0.022261165603980743,0.4711746589586878,1
MoMac,post,RPL11,-0.11969643480407134,0.2952499072689458,-0.044296051397040695,0.0038891339406083103,-0.3848294749540294,0.3472946452620416,0.07928951734763884,0.7321241202160711,1
MoMac,post,RPL12,0.4243963898248248,0.4500875290420278,-0.1915640158829156,0.38018555999331366,0.4567703228413096,0.048402530673948424,-0.235774845714427,0.6925451685557366,1
MoMac,post,RPL13,0.030174395544334837,0.18025231255383914,0.11784313802763749,0.10722264159956656,-0.2204338713376623,0.41058696408093254,0.1948913840828691,0.6310208354185949,1
MoMac,post,RPL13A,-0.2271329041984211,0.19292377467835015,0.01265146575084624,0.11652615193887654,-0.2392306539144429,0.513486496652133,0.35631052188814377,0.7527171505665758,1
MoMac,post,RPL14,0.07868640896722517,0.2328701896722971,-0.002574481807833282,0.11225209748053327,-0.08232155525075435,0.23417603546186583,0.030991206705473714,0.3164975907126202,1
MoMac,post,RPL15,-0.31692029424023066,0.14539009145152137,0.04649474955059476,-0.04293923972539469,-0.6487235559914405,0.5074622100612334,0.3204758040654308,1.156185766052674,1
MoMac,post,RPL18,-0.17543071378080216,0.26953961786687236,-0.01702953659873086,-0.016841195254454114,-0.22212932340038635,0.4955363746560867,0.14155998192761682,0.7176656980564731,1
MoMac,post,RPL18A,-0.15786600129347503,0.10059176512212084,0.12363538899396692,-0.038181015640873735,-0.36166854105799323,0.46913675842173624,0.24332037464656808,0.8308052994797295,1
