cell,phase,spec,formula,source,n_ref_cells,n_test_cells,n_genes_tested,n_samples,n_genes_fit,converged_C,converged_D,na_coefC,na_coefD,n_genes_returned,nfkb_nes,nfkb_nom_p,nfkb_fdr_q,nfkb_rank,n_sets,minutes,status
MoMac,post,dep,~ condition + sample_id + cngeneson,MoMac.h5ad,2512,8628,4693,11,4693.0,4693.0,4693.0,0.0,0.0,4693,0.8917187133395894,0.6489563567362429,0.8958845642518976,17,43,11.6,ok
MoMac,pre,A,~ condition + cngeneson,MoMac.h5ad,2110,2776,5868,8,5868.0,5868.0,5868.0,0.0,0.0,5868,-1.030419587413533,0.402002861230329,0.7895896167271002,32,45,14.64,ok
MoMac,pre,A0,~ condition,MoMac.h5ad,2110,2776,5868,8,5868.0,5868.0,5868.0,0.0,0.0,5868,-1.0577577504658575,0.3613360323886639,0.871928885054612,27,45,4.66,ok
MoMac,pre,B,~ condition + cngeneson + (1 | sample_id),MoMac.h5ad,2110,2776,5868,8,5868.0,5868.0,5863.0,0.0,5.0,5863,-1.5287685841778382,0.0018181818181818,0.0759731796132812,43,45,48.66,ok
MoMac,pre,T,Welch t-test,MoMac.h5ad,2110,2776,5868,8,,,,,,5868,-1.001138034142407,0.5116044399596368,0.8924723127788953,21,45,0.51,ok
MoMac,pre,dep,~ condition + sample_id + cngeneson,MoMac.h5ad,2110,2776,5868,8,5868.0,5868.0,5868.0,0.0,0.0,5868,-1.4913591092405671,0.032069970845481,0.8935347209430836,45,45,7.11,ok
NK_cells,post,A,~ condition + cngeneson,NK_cells.h5ad,636,1451,2062,11,2062.0,2062.0,2062.0,0.0,0.0,2062,-1.059053605513563,0.3559718969555035,0.8912081540480332,29,39,2.66,ok
NK_cells,post,A0,~ condition,NK_cells.h5ad,636,1451,2062,11,2062.0,2062.0,2062.0,0.0,0.0,2062,1.0108675335663,0.4806565064478312,1.0,12,39,2.01,ok
NK_cells,post,B,~ condition + cngeneson + (1 | sample_id),NK_cells.h5ad,636,1451,2062,11,2062.0,2062.0,2059.0,0.0,3.0,2059,0.7789159750511071,0.8764568764568764,0.9195629124453556,17,39,12.44,ok
NK_cells,post,T,Welch t-test,NK_cells.h5ad,636,1451,2062,11,,,,,,2062,1.1588285175859845,0.2211328976034858,0.9250016751380792,9,39,0.13,ok
NK_cells,post,dep,~ condition + sample_id + cngeneson,NK_cells.h5ad,636,1451,2062,11,2062.0,2062.0,2062.0,0.0,0.0,2062,-1.7856321431336248,0.0,0.0,39,39,4.78,ok
NK_cells,pre,A,~ condition + cngeneson,NK_cells.h5ad,630,1115,2308,8,2308.0,2308.0,2308.0,0.0,0.0,2308,1.4894124478710418,0.0012360939431396,0.0400423196930029,2,39,3.32,ok
NK_cells,pre,A0,~ condition,NK_cells.h5ad,630,1115,2308,8,2308.0,2308.0,2308.0,0.0,0.0,2308,1.573106038005251,0.008,0.0872511933711609,2,39,1.85,ok
NK_cells,pre,B,~ condition + cngeneson + (1 | sample_id),NK_cells.h5ad,630,1115,2308,8,2308.0,2308.0,2305.0,0.0,3.0,2305,1.6111363107044745,0.0,0.0340677625727974,3,39,11.63,ok
NK_cells,pre,T,Welch t-test,NK_cells.h5ad,630,1115,2308,8,,,,,,2308,1.696672267995732,0.0,0.0474345691247353,1,39,0.14,ok
NK_cells,pre,dep,~ condition + sample_id + cngeneson,NK_cells.h5ad,630,1115,2308,8,2308.0,2308.0,2308.0,0.0,0.0,2308,-1.4194694530343654,0.0551724137931034,1.0,39,39,6.25,ok
Neutrophils,post,A,~ condition + cngeneson,Neutrophils_sound.h5ad,1981,3283,1024,11,1024.0,1024.0,1024.0,0.0,0.0,1024,1.328628273491451,0.0485762144053601,0.2375855855855856,6,26,2.7,ok
Neutrophils,post,A0,~ condition,Neutrophils_sound.h5ad,1981,3283,1024,11,1024.0,1024.0,1024.0,0.0,0.0,1024,1.339773438664348,0.0544323483670295,0.2520168011200747,5,26,1.44,ok
Neutrophils,post,B,~ condition + cngeneson + (1 | sample_id),Neutrophils_sound.h5ad,1981,3283,1024,11,1024.0,1024.0,1021.0,0.0,3.0,1021,1.294511032568189,0.0649819494584837,0.2991229381571735,6,26,11.91,ok
Neutrophils,post,T,Welch t-test,Neutrophils_sound.h5ad,1981,3283,1024,11,,,,,,1024,1.3166519123518958,0.0512445095168374,0.2460688672101207,7,26,0.22,ok
Neutrophils,post,dep,~ condition + sample_id + cngeneson,Neutrophils_sound.h5ad,1981,3283,1024,11,1024.0,1024.0,1024.0,0.0,0.0,1024,-1.2250322411535424,0.1342685370741483,0.5396021182195505,22,26,5.2,ok
Neutrophils,pre,A,~ condition + cngeneson,Neutrophils_sound.h5ad,983,270,1506,7,1506.0,1506.0,1506.0,1.0,0.0,1505,-1.4419138818255,0.0356564019448946,1.0,34,34,2.27,ok
Neutrophils,pre,A0,~ condition,Neutrophils_sound.h5ad,983,270,1506,7,1506.0,1506.0,1506.0,1.0,0.0,1505,-1.5924716926916431,0.0,0.0699868774604761,34,34,2.01,ok
Neutrophils,pre,B,~ condition + cngeneson + (1 | sample_id),Neutrophils_sound.h5ad,983,270,1506,7,1506.0,1505.0,1502.0,1.0,4.0,1502,-1.8300030748426164,0.0,0.0083205977245712,34,34,6.44,ok
Neutrophils,pre,T,Welch t-test,Neutrophils_sound.h5ad,983,270,1506,7,,,,,,1506,-1.2524210666008162,0.037,1.0,34,34,0.19,ok
Neutrophils,pre,dep,~ condition + sample_id + cngeneson,Neutrophils_sound.h5ad,983,270,1506,7,1506.0,1506.0,1506.0,1.0,0.0,1505,-0.7163945822721766,0.9930555555555556,0.9227884674494377,20,34,3.29,ok
Pericyte,post,A,~ condition + cngeneson,Pericyte.h5ad,297,1544,6403,11,6403.0,6403.0,6403.0,0.0,0.0,6403,-0.9927451976140772,0.4705882352941176,0.6713393439061481,34,49,9.56,ok
Pericyte,post,A0,~ condition,Pericyte.h5ad,297,1544,6403,11,6403.0,6403.0,6403.0,0.0,0.0,6403,0.7853190894818809,0.7979651162790697,0.8912362503444038,29,49,2.7,ok
Pericyte,post,B,~ condition + cngeneson + (1 | sample_id),Pericyte.h5ad,297,1544,6403,11,6403.0,6402.0,6393.0,0.0,10.0,6393,1.5245609258198238,0.0075187969924812,0.0485175202156334,7,49,35.37,ok
Pericyte,post,T,Welch t-test,Pericyte.h5ad,297,1544,6403,11,,,,,,6403,0.909951680001516,0.6399026763990268,0.8079966045613215,30,49,0.12,ok
Pericyte,post,dep,~ condition + sample_id + cngeneson,Pericyte.h5ad,297,1544,6403,11,6403.0,6403.0,6403.0,0.0,0.0,6403,-0.5887674758818038,0.9954545454545456,1.0,15,49,14.23,ok
Pericyte,pre,A,~ condition + cngeneson,Pericyte.h5ad,526,675,6445,8,6445.0,6445.0,6445.0,0.0,0.0,6445,-1.4567337024310472,0.0192644483362521,0.1855392427420245,45,49,8.18,ok
Pericyte,pre,A0,~ condition,Pericyte.h5ad,526,675,6445,8,6445.0,6445.0,6445.0,0.0,0.0,6445,-1.334437792645971,0.0010090817356205,0.0950430056754529,41,49,2.56,ok
Pericyte,pre,B,~ condition + cngeneson + (1 | sample_id),Pericyte.h5ad,526,675,6445,8,6445.0,6445.0,6440.0,0.0,5.0,6439,-1.3132697298977456,0.0552763819095477,0.2990809032111652,43,49,26.99,ok
Pericyte,pre,T,Welch t-test,Pericyte.h5ad,526,675,6445,8,,,,,,6445,-1.3369771175980705,0.0,0.0728250285762668,45,49,0.16,ok
Pericyte,pre,dep,~ condition + sample_id + cngeneson,Pericyte.h5ad,526,675,6445,8,6445.0,6445.0,6445.0,0.0,0.0,6445,-1.5651526620109422,0.0019880715705765,0.1248755624576912,49,49,10.27,ok
Plasma_cells,post,A,~ condition + cngeneson,plasma_cell_integrated.h5ad,1659,1689,2549,11,2549.0,2549.0,2549.0,0.0,0.0,2549,1.363424566276473,0.0036188178528347,0.7815968718466196,1,41,5.28,ok
Plasma_cells,post,A0,~ condition,plasma_cell_integrated.h5ad,1659,1689,2549,11,2549.0,2549.0,2549.0,0.0,0.0,2549,1.3073108105049602,0.0270906949352179,0.6359431780640898,3,41,1.7,ok
Plasma_cells,post,B,~ condition + cngeneson + (1 | sample_id),plasma_cell_integrated.h5ad,1659,1689,2549,11,2549.0,2549.0,2549.0,0.0,0.0,2549,1.752280386305008,0.0,0.0,1,41,22.18,ok
Plasma_cells,post,T,Welch t-test,plasma_cell_integrated.h5ad,1659,1689,2549,11,,,,,,2549,1.385684676349474,0.0024813895781637,0.2022351767887069,3,41,0.1,ok
Plasma_cells,post,dep,~ condition + sample_id + cngeneson,plasma_cell_integrated.h5ad,1659,1689,2549,11,2549.0,2549.0,2549.0,0.0,0.0,2549,-1.440267445524558,0.0049079754601227,0.219227635652599,41,41,8.74,ok
Plasma_cells,pre,A,~ condition + cngeneson,plasma_cell_integrated.h5ad,3713,2174,3279,8,3279.0,3279.0,3279.0,0.0,0.0,3279,-1.1497050896507544,0.29082774049217,0.7877136891556831,36,41,8.43,ok
Plasma_cells,pre,A0,~ condition,plasma_cell_integrated.h5ad,3713,2174,3279,8,3279.0,3279.0,3279.0,0.0,0.0,3279,-1.3021457089350752,0.1238779174147217,0.9481990521327014,38,41,3.03,ok
Plasma_cells,pre,B,~ condition + cngeneson + (1 | sample_id),plasma_cell_integrated.h5ad,3713,2174,3279,8,3279.0,3279.0,3276.0,0.0,3.0,3276,1.0369077758787533,0.4278506559031281,0.7578925661764465,23,41,30.73,ok
