cell,phase,spec_a,spec_b,n_genes,spearman_logFC,pearson_logFC,spearman_rankmetric,pct_same_sign_logFC
Fibroblast,pre,A0,A,6801,0.7255800227691621,0.8146489058231875,0.6928863454829671,66.46081458609028
Fibroblast,pre,A0,B,6797,0.4544323278318406,0.37344629751444713,0.44287655120217745,56.613211711049
Fibroblast,pre,A0,T,6801,0.8140973573596368,0.7098143678641231,0.8764665060246407,99.91177767975297
Fibroblast,pre,A,B,6797,0.7477548870620095,0.6323023034630477,0.7621285836725863,82.1391790495807
Fibroblast,pre,A,T,6801,0.8172362755886445,0.7029977153588625,0.8295815182471254,66.37259226584325
Fibroblast,pre,B,T,6797,0.573364307974627,0.36965289615567937,0.5913354154430253,56.52493747241431
Fibroblast,post,dep,A0,6157,0.4370801084546897,0.476009622353787,0.42406862293323566,65.29153808673055
Fibroblast,post,dep,A,6157,0.3996438478681295,0.47888052419043137,0.4020834957929476,64.25207081370797
Fibroblast,post,dep,B,6154,0.4073221170812233,0.46126520968407614,0.41522397035434866,65.63210919727007
Fibroblast,post,dep,T,6157,0.42779149167226854,0.40426666766269925,0.4381744693102394,65.29153808673055
Fibroblast,post,A0,A,6157,0.9468160101644703,0.9627645945341328,0.9270524737989279,82.75133993828163
Fibroblast,post,A0,B,6154,0.9073291681373111,0.9078279648637465,0.8887862028318698,79.9480012999675
Fibroblast,post,A0,T,6157,0.936728786439673,0.7901379452527105,0.9632823281883923,99.96751664771804
Fibroblast,post,A,B,6154,0.9477943458288437,0.9445503237576538,0.9391363905392663,93.24016899577511
Fibroblast,post,A,T,6157,0.920491535321446,0.8085565100474983,0.9418683380785193,82.75133993828163
Fibroblast,post,B,T,6154,0.8943212115406961,0.7560287911665051,0.9149906594826221,79.91550211244719
Mast_cells,pre,dep,A0,2288,0.17338075250167134,0.2913055198621629,0.14238314444198072,52.972027972027966
Mast_cells,pre,dep,A,2288,0.17822575786716946,0.22581934854897073,0.16365354994037895,56.730769230769226
Mast_cells,pre,dep,B,2283,0.256532580864669,0.3467980078924836,0.23137079995735385,57.59964958388086
Mast_cells,pre,dep,T,2288,0.22855928224725938,0.23974036849519023,0.20479163556530194,52.92832167832168
Mast_cells,pre,A0,A,2288,0.7730963191644428,0.8482333716595426,0.7347206603724298,61.97552447552448
Mast_cells,pre,A0,B,2283,0.7245920773948729,0.7591008256501625,0.6961522273167352,61.62943495400789
Mast_cells,pre,A0,T,2288,0.8806284195299893,0.7942494382740649,0.8964767216112074,99.78146853146853
Mast_cells,pre,A,B,2283,0.901296686702849,0.8705829533692254,0.8960534723495319,92.29084537888743
Mast_cells,pre,A,T,2288,0.8821751692946281,0.8016590339300782,0.8715476696456147,61.756993006993014
Mast_cells,pre,B,T,2283,0.8050846245581212,0.6692214459147721,0.8078818923290924,61.41042487954446
Mast_cells,post,dep,A0,2270,0.06313467531312832,0.0033337603018034068,0.05165402001617671,53.30396475770925
Mast_cells,post,dep,A,2270,0.0574312368621226,0.0037247333925492787,0.04859550227855379,53.03964757709251
Mast_cells,post,dep,B,2265,0.1910246703349349,0.2117159373872773,0.1934591548609464,57.306843267108164
Mast_cells,post,dep,T,2270,0.06686604325077612,0.016728375811856433,0.05879618485975266,53.30396475770925
Mast_cells,post,A0,A,2270,0.9856988163233784,0.9923246617181865,0.9758176452288194,92.86343612334802
Mast_cells,post,A0,B,2265,0.9045012165173729,0.8790991319552235,0.889776735979348,88.69757174392936
Mast_cells,post,A0,T,2270,0.9740802117213394,0.834533364015056,0.980864547559637,100.0
Mast_cells,post,A,B,2265,0.9093755486896211,0.8900416509136436,0.9031672856327936,90.90507726269315
Mast_cells,post,A,T,2270,0.9607587053047552,0.8388289020440096,0.9757637210049416,92.86343612334802
Mast_cells,post,B,T,2265,0.8889713936093135,0.7695114699205832,0.9056160608837209,88.69757174392936
MoMac,pre,dep,A0,5868,-0.016226976671423032,-0.08789730119128746,-0.04262010103614047,48.92638036809816
MoMac,pre,dep,A,5868,0.0680093941044962,-0.07131311533705899,0.05562525202071365,53.254942058623044
MoMac,pre,dep,B,5863,0.11058117660539019,-0.02070755543274618,0.12819136511036366,54.90363295241344
MoMac,pre,dep,T,5868,0.07058390664067915,-0.002336161523260622,0.038050565010890665,48.92638036809816
MoMac,pre,A0,A,5868,0.7415374715259316,0.8633944341691764,0.7205573695485196,65.37150647580096
MoMac,pre,A0,B,5863,0.5740482379748404,0.6642483969654192,0.5417388696788965,61.333788163056454
MoMac,pre,A0,T,5868,0.7885468040423937,0.7056260604426772,0.8894003931880436,100.0
MoMac,pre,A,B,5863,0.8189372595801143,0.8245625789023862,0.8107616543462363,84.6324407300017
MoMac,pre,A,T,5868,0.8578665016327434,0.728751214221465,0.8664620944557543,65.37150647580096
MoMac,pre,B,T,5863,0.7005844105138915,0.524055735954998,0.702039169368016,61.333788163056454
MoMac,post,dep,A0,4693,0.360053663195768,0.5589789166260952,0.36985679393466026,62.90219475815043
MoMac,post,dep,A,4693,0.35179350945936383,0.5407929906199546,0.3528687337578543,61.772853185595565
MoMac,post,dep,B,4692,0.37562393555746465,0.5264224459194731,0.37203938317267266,62.574595055413475
MoMac,post,dep,T,4693,0.3802082830321019,0.44027754868019975,0.3802037154534215,62.90219475815043
MoMac,post,A0,A,4693,0.9814673248917746,0.9923255118422362,0.9764793651566532,87.10845940762837
MoMac,post,A0,B,4692,0.9150865331229426,0.9090572946010572,0.9083800220138951,83.12020460358056
MoMac,post,A0,T,4693,0.9396717728022155,0.822456722928652,0.9861671851414908,100.0
MoMac,post,A,B,4692,0.9367609487920341,0.9208869755844232,0.9264226378644926,92.34867860187553
MoMac,post,A,T,4693,0.9389468222992309,0.8083759845689894,0.9714129787186514,87.10845940762837
MoMac,post,B,T,4692,0.8836360626860399,0.7560872863332122,0.9134812941946099,83.12020460358056
Neutrophils,pre,dep,A0,1505,0.09575551614141439,0.030519102011841007,0.03637205711094364,53.089700996677735
Neutrophils,pre,dep,A,1505,0.06257138689181915,-0.023384581388225394,-0.002386006517568104,55.14950166112956
Neutrophils,pre,dep,B,1502,0.15963086295793893,0.10237182351226444,0.08621161228317278,59.45406125166445
Neutrophils,pre,dep,T,1505,0.09484937538317782,0.062002344684160236,0.02475553430652717,53.02325581395348
Neutrophils,pre,A0,A,1505,0.7495212970131209,0.8134575427976771,0.6476415008658375,61.926910299003325
Neutrophils,pre,A0,B,1502,0.727008472775018,0.7309586898726496,0.6372979226089684,61.91744340878829
Neutrophils,pre,A0,T,1505,0.8956802534683489,0.785238270900568,0.8898162422058427,99.93355481727575
Neutrophils,pre,A,B,1502,0.851397228519211,0.8074774662482409,0.8498409899733274,90.67909454061251
Neutrophils,pre,A,T,1505,0.8303265062320873,0.7630721099206605,0.8252156250941663,61.86046511627907
Neutrophils,pre,B,T,1502,0.8075873454222449,0.7381803601798755,0.7902690694462859,61.8508655126498
Neutrophils,post,dep,A0,1024,0.3612618129068021,0.4087359868489044,0.3548850153208486,62.59765625
Neutrophils,post,dep,A,1024,0.359537430262499,0.4086478566497257,0.35380725799530677,63.57421875
Neutrophils,post,dep,B,1021,0.44434263904534077,0.5255127561052295,0.44643573493089167,65.03428011753184
Neutrophils,post,dep,T,1024,0.3519885581324655,0.3628438619528746,0.3477854135499228,62.59765625
Neutrophils,post,A0,A,1024,0.9974315700772476,0.9981929963881788,0.9962425680387668,96.484375
Neutrophils,post,A0,B,1021,0.8905061961725373,0.856539388320971,0.8641663661023423,88.1488736532811
Neutrophils,post,A0,T,1024,0.9778860373006223,0.8844716566934472,0.9911855933946069,100.0
Neutrophils,post,A,B,1021,0.8963556946801635,0.8655979123217201,0.871654527400699,90.89128305582761
Neutrophils,post,A,T,1024,0.9760903860596524,0.8879247910426707,0.9917271877905729,96.484375
Neutrophils,post,B,T,1021,0.8773014649086124,0.7921461273536798,0.8723247961790541,88.1488736532811
NK_cells,pre,dep,A0,2308,-0.07208814176611106,-0.17769427868370555,-0.06462797540839464,48.87348353552859
NK_cells,pre,dep,A,2308,-0.015222469334298867,-0.14084801780202294,-0.012678366615938554,50.08665511265165
NK_cells,pre,dep,B,2305,0.14161065630763597,0.16072810708641613,0.1384822934271216,54.40347071583515
NK_cells,pre,dep,T,2308,-0.045175961808180023,-0.09248989845117503,-0.05864850368224982,48.87348353552859
NK_cells,pre,A0,A,2308,0.9464970127467314,0.9550321363629688,0.9120114978164247,93.06759098786829
NK_cells,pre,A0,B,2305,0.815283399619591,0.7066642224896578,0.7831093193335753,85.94360086767895
NK_cells,pre,A0,T,2308,0.9611993545349976,0.8862569721254654,0.9680836196759817,100.0
NK_cells,pre,A,B,2305,0.8551687240412793,0.7439179621571081,0.8450442713183692,88.45986984815617
NK_cells,pre,A,T,2308,0.9481106176657405,0.8548825890137808,0.9496448713341353,93.06759098786829
NK_cells,pre,B,T,2305,0.826247806854576,0.61194024043123,0.829532818674162,85.94360086767895
NK_cells,post,dep,A0,2062,0.35410356937808113,0.45881420001640527,0.3370190330378723,59.602327837051405
NK_cells,post,dep,A,2062,0.41572300017310715,0.5308913043796888,0.40806994370597505,64.01551891367603
NK_cells,post,dep,B,2059,0.37511443358675595,0.449126193685087,0.37326087940637553,62.60320543953375
NK_cells,post,dep,T,2062,0.33316921120264964,0.3356333542208232,0.345487202000662,59.65082444228904
NK_cells,post,A0,A,2062,0.9264082040737078,0.9376235861690783,0.9102957658414024,76.77012609117362
NK_cells,post,A0,B,2059,0.873960836959336,0.8769924867626329,0.8554590636265824,74.7935891209325
NK_cells,post,A0,T,2062,0.9426388821254045,0.8210055532599301,0.9545051630606489,99.85451018428711
NK_cells,post,A,B,2059,0.9520048338788222,0.94870244119727,0.9498956159151779,93.49198640116562
NK_cells,post,A,T,2062,0.9428771315222113,0.8535581531381186,0.953089975303465,76.62463627546072
NK_cells,post,B,T,2059,0.9132603935825006,0.8207727254504286,0.9172618721697305,74.64788732394366
Pericyte,pre,dep,A0,6445,0.09959356092184145,0.07163352677105372,0.08833575185728587,54.46082234290147
Pericyte,pre,dep,A,6445,0.13637498943555376,0.0695698133053422,0.12695536546980668,56.19860356865788
Pericyte,pre,dep,B,6439,0.12059915541452457,0.061865068189102,0.11960883907376718,55.086193508308746
Pericyte,pre,dep,T,6445,0.12463730616410902,0.07337378763002494,0.11405967123702575,54.44530643910008
Pericyte,pre,A0,A,6445,0.6438084553185567,0.7148166733967267,0.5933142867532594,65.12024825446082
Pericyte,pre,A0,B,6439,0.5475127494347772,0.56247823463805,0.49168632466930906,55.210436403168195
