group,gene,mean_scaled,fraction
Tex,TOP2A,0.03602871298789978,0.037125748502994015
Tex,PDCD1,1.0,0.4095808383233533
Tex,HAVCR2,1.0,0.38143712574850297
Tex,LAG3,1.0,0.5856287425149701
Tex,ISG15,0.21592344343662262,0.3724550898203593
ISG,CCL4,0.7378568649291992,0.6551724137931034
ISG,CCL5,0.9354662299156189,0.9689655172413794
ISG,DUSP1,0.36186233162879944,0.5551724137931034
ISG,JUN,0.41185513138771057,0.8206896551724138
ISG,KLRB1,0.07614410668611526,0.18275862068965518
ISG,SLC4A10,0.0,0.0
ISG,CCR7,0.06277534365653992,0.034482758620689655
ISG,SELL,0.08023504167795181,0.04482758620689655
ISG,KLRG1,0.2203632891178131,0.07586206896551724
ISG,CX3CR1,0.04995295777916908,0.010344827586206896
ISG,MKI67,0.015194598585367203,0.04482758620689655
ISG,TOP2A,0.03179347142577171,0.027586206896551724
ISG,PDCD1,0.29080289602279663,0.13448275862068965
ISG,HAVCR2,0.12049207836389542,0.08275862068965517
ISG,LAG3,0.7282232642173767,0.46551724137931033
ISG,ISG15,1.0,0.7310344827586207
