CellType,Pathway,NES,NOM_pval,FDR_qval
Epithelial,Fatty Acid Metabolism,-0.984656819153324,0.486682808716707,1.0
Epithelial,Angiogenesis,0.9801955467167036,0.5099457504520796,0.7053175150608673
Epithelial,heme Metabolism,0.9674865166918156,0.5040783034257749,0.7124218037094451
Epithelial,Apical Junction,-0.9672551934184276,0.4470284237726098,0.9740358721609674
Epithelial,KRAS Signaling Up,0.939603678264934,0.5726072607260726,0.760674164715195
Epithelial,Apical Surface,-0.936485017074638,0.5570776255707762,0.987483698321562
Epithelial,p53 Pathway,0.9285404253164344,0.5853658536585366,0.7629894430250643
Epithelial,Estrogen Response Early,0.9230583393344288,0.6089030206677265,0.748685886982005
Epithelial,E2F Targets,-0.9149267733059574,0.6684210526315789,0.969300340429856
Epithelial,Wnt-beta Catenin Signaling,0.9019496645833208,0.6017699115044248,0.7762953923282431
Epithelial,Mitotic Spindle,0.9015692245549106,0.6492063492063492,0.7504546483313639
Epithelial,Oxidative Phosphorylation,-0.8824485183243689,0.7410256410256411,1.0
Epithelial,Pperoxisome,-0.8593013069313593,0.7225130890052356,1.0
Epithelial,Estrogen Response Late,0.8443038408702808,0.7908082408874801,0.8750728366151039
Epithelial,Complement,0.8266215811619955,0.8168789808917197,0.8891326528983743
Epithelial,Unfolded Protein Response,0.7806161086526622,0.9053156146179402,0.9683366865661795
Epithelial,mTORC1 Signaling,0.7762341467051119,0.9584717607973422,0.947284780920455
Epithelial,Glycolysis,0.7752847812681154,0.9658536585365852,0.9212045252152116
Epithelial,PI3K/AKT/mTOR  Signaling,-0.7750982008758601,0.9516908212560388,1.0
Epithelial,Bile Acid Metabolism,-0.7561012697265171,0.9816272965879264,1.0
Epithelial,Interferon Alpha Response,-0.732430560468276,0.9922077922077922,1.0
Epithelial,DNA Repair,-0.7292316929611489,1.0,0.9840963365682638
Fibroblast,TNF-alpha Signaling via NF-kB,1.4676669666980606,0.0,0.0
Fibroblast,Inflammatory Response,1.2796119959655885,0.0196936542669584,0.931735278791037
Fibroblast,Protein Secretion,1.2645035735929169,0.060919540229885,0.8125759944415494
Fibroblast,E2F Targets,1.2608414340037188,0.0428100987925356,0.6466909848879625
Fibroblast,Mitotic Spindle,1.2491009470007013,0.0459518599562363,0.6178217821782178
Fibroblast,KRAS Signaling Up,1.2237694301155857,0.0610021786492374,0.7267674135834636
Fibroblast,UV Response Dn,1.2202355048563491,0.10479375696767,0.6495942827365443
Fibroblast,Angiogenesis,1.2091364472721944,0.2176616915422885,0.6507295466388744
Fibroblast,Myc Targets V2,1.1889931489174448,0.2061728395061728,0.7275780209599908
Fibroblast,Allograft Rejection,1.1885893850143274,0.1058951965065502,0.658676393955185
Fibroblast,G2-M Checkpoint,1.1844256594874836,0.1101511879049676,0.6251361978303094
Fibroblast,TGF-beta Signaling,1.1779422759370548,0.2143727161997564,0.6083029355567136
Fibroblast,IL-6/JAK/STAT3 Signaling,1.1728893766707382,0.1817116060961313,0.5900509079248006
Fibroblast,Estrogen Response Early,1.1525512254553565,0.1643090315560391,0.6546564430879177
Fibroblast,Hypoxia,1.1514977569143734,0.1674057649667406,0.6159458051068265
Fibroblast,Glycolysis,1.124594964747965,0.2365236523652365,0.7118942157373632
Fibroblast,Wnt-beta Catenin Signaling,1.1004247617986804,0.3519417475728155,0.7947153848511785
Fibroblast,IL-2/STAT5 Signaling,1.0992689455029994,0.2802617230098146,0.7563545828267038
Fibroblast,UV Response Up,1.091214935956598,0.2866894197952218,0.758070266860481
Fibroblast,p53 Pathway,1.0833066295283815,0.3226519337016574,0.7566440854611778
Fibroblast,Apoptosis,1.0802643195942028,0.3232323232323232,0.7345591702027346
Fibroblast,Epithelial Mesenchymal Transition,1.0666066077633578,0.329295154185022,0.7602918186555497
Fibroblast,DNA Repair,1.0539603447810657,0.3791946308724832,0.7819289938147133
Fibroblast,Interferon Gamma Response,1.0428198240996336,0.4081196581196581,0.7951624109779399
Fibroblast,Apical Surface,1.0415683661133543,0.4444444444444444,0.7680667014069829
Fibroblast,Unfolded Protein Response,1.0364120343945356,0.4316628701594533,0.7582875696476531
Fibroblast,Notch Signaling,1.0361207612042167,0.4767295597484277,0.7314766564375735
Fibroblast,PI3K/AKT/mTOR  Signaling,1.0345772630551635,0.4308211473565804,0.7102285416511576
Fibroblast,Estrogen Response Late,1.0180854961502277,0.4542483660130719,0.741801584877181
Fibroblast,Adipogenesis,0.9966077186121248,0.5120350109409191,0.7903769324300851
Fibroblast,Interferon Alpha Response,-0.9561274839053048,0.5227272727272727,1.0
Fibroblast,Myc Targets V1,0.9544907547796948,0.6157205240174672,0.897880280387971
Fibroblast,Fatty Acid Metabolism,-0.9533592093424677,0.5254237288135594,1.0
Fibroblast,Androgen Response,0.9478032930832868,0.619815668202765,0.8902423137050547
Fibroblast,Bile Acid Metabolism,0.934473323138752,0.6387614678899083,0.8993636205725836
Fibroblast,Reactive Oxygen Species Pathway,0.9296724676013512,0.6257822277847309,0.8861539404714466
Fibroblast,Spermatogenesis,0.91842343752594,0.6760722347629797,0.8882304771830566
