x,y,cell_type
3.0008,19.07874,B cells
2.51055,18.58926,B cells
2.10154,19.1509,B cells
0.49146,18.59339,B cells
2.24752,19.20068,B cells
3.00828,18.09171,B cells
1.52725,18.30435,B cells
2.76297,18.74148,B cells
1.15851,21.20162,B cells
-0.5636,16.8958,B cells
1.13385,18.86921,B cells
1.80909,19.47499,B cells
3.24886,19.21989,B cells
1.9964,18.96929,B cells
2.37963,19.01234,B cells
1.81359,18.39017,B cells
1.55205,19.68645,B cells
2.03975,18.75928,B cells
2.70792,20.66984,B cells
3.1751,19.70414,B cells
2.61029,19.60047,B cells
3.04168,19.24696,B cells
2.84054,20.25813,B cells
1.68921,19.11241,B cells
3.29964,18.56704,B cells
2.69127,19.62345,B cells
3.13181,18.97701,B cells
0.67001,19.37799,B cells
1.84893,19.80149,B cells
1.79456,20.9164,B cells
2.17161,18.45556,B cells
2.644,18.74205,B cells
1.58519,21.0758,B cells
1.70116,18.49524,B cells
1.54607,18.02118,B cells
1.87062,18.91702,B cells
2.45678,18.47289,B cells
1.12498,18.42241,B cells
2.64724,18.3785,B cells
0.60495,19.73734,B cells
1.96896,20.47143,B cells
2.64092,20.96028,B cells
2.28665,20.91848,B cells
1.2433,18.86463,B cells
1.66829,18.45509,B cells
1.17281,21.12971,B cells
1.94976,18.55793,B cells
3.1309,21.09916,B cells
3.1057,19.16389,B cells
2.12027,21.20477,B cells
3.04507,17.96392,B cells
0.43908,19.34483,B cells
-0.19532,18.43006,B cells
0.90266,19.21642,B cells
3.6454,19.71182,B cells
1.59217,18.83554,B cells
2.96273,19.70204,B cells
0.23617,17.44432,B cells
1.75091,18.58659,B cells
1.61543,21.10228,B cells
0.76359,18.50642,B cells
-0.5061,18.83069,B cells
3.19878,19.59268,B cells
2.71321,21.00655,B cells
2.74384,18.85702,B cells
1.75049,18.75698,B cells
2.98611,18.06008,B cells
2.27264,18.94894,B cells
1.89462,20.91394,B cells
1.36008,19.17777,B cells
1.67653,18.26305,B cells
0.56774,17.40118,B cells
2.53899,18.34806,B cells
1.79928,20.55122,B cells
2.62044,21.01699,B cells
3.30338,19.37047,B cells
1.1135,18.26811,B cells
2.46001,18.51392,B cells
2.3243,18.15989,B cells
2.20162,19.71047,B cells
2.55032,18.86207,B cells
3.8429,19.56531,B cells
2.93128,18.95441,B cells
2.93245,18.60931,B cells
1.71971,19.25518,B cells
1.40173,17.38103,B cells
1.25862,19.30224,B cells
1.10794,18.69837,B cells
3.37988,21.12764,B cells
1.24453,17.80867,B cells
0.12889,18.31263,B cells
1.67384,17.57098,B cells
-0.22515,17.18688,B cells
2.7562,19.5517,B cells
2.95564,19.87996,B cells
0.87417,18.31844,B cells
1.69398,21.46911,B cells
2.12749,19.74121,B cells
0.9535,18.51893,B cells
-0.52729,18.43399,B cells
0.47603,18.07472,B cells
1.15792,18.31199,B cells
2.61508,19.44459,B cells
1.9638,19.0691,B cells
3.01427,18.58471,B cells
2.98623,19.86162,B cells
-0.97838,18.36212,B cells
-1.23198,18.77924,B cells
0.02682,18.90826,B cells
1.336,19.69108,B cells
3.61166,18.76942,B cells
1.64097,18.95949,B cells
2.48673,19.56863,B cells
2.06137,19.60368,B cells
2.14271,19.23804,B cells
0.80662,20.48473,B cells
0.88881,18.63968,B cells
3.2104,19.49186,B cells
2.69662,21.15896,B cells
0.60445,19.27084,B cells
1.18925,19.49142,B cells
0.83565,18.75558,B cells
2.53092,20.82396,B cells
1.73505,21.48872,B cells
1.92904,18.76175,B cells
2.26519,19.44904,B cells
2.02667,17.7581,B cells
1.7516,19.36013,B cells
1.66336,18.08319,B cells
2.94987,18.82015,B cells
2.86051,19.34771,B cells
2.21704,18.70381,B cells
