order,sample,cell_type,proportion
22,P29-B1,Epithelial cells,0.003927729772191673
22,P29-B1,Fibroblasts,0.0
22,P29-B1,Hepatocytes,0.0
22,P29-B1,Mast cells,0.00432050274941084
22,P29-B1,Monocytes/Macrophages,0.23016496465043204
22,P29-B1,Neutrophils,0.20149253731343283
22,P29-B1,Pericytes,0.0
22,P29-B1,Plasma cells,0.002945797329143755
22,P29-B1,T/NK cells,0.49430479183032205
23,P30-B1,B cells,0.0020849336113244817
23,P30-B1,Dendritic cells,0.0001097333479644464
23,P30-B1,Endothelial cells,0.0
23,P30-B1,Epithelial cells,0.0002194666959288928
23,P30-B1,Fibroblasts,0.0
23,P30-B1,Hepatocytes,0.0001097333479644464
23,P30-B1,Mast cells,0.0
23,P30-B1,Monocytes/Macrophages,0.016569735542631407
23,P30-B1,Neutrophils,0.9680675957423461
23,P30-B1,Pericytes,0.0
23,P30-B1,Plasma cells,0.001975200263360035
23,P30-B1,T/NK cells,0.010863601448480193
24,P31-B1,B cells,0.07416666666666667
24,P31-B1,Dendritic cells,0.04145833333333333
24,P31-B1,Endothelial cells,0.0
24,P31-B1,Epithelial cells,0.008125
24,P31-B1,Fibroblasts,0.0
24,P31-B1,Hepatocytes,0.0
24,P31-B1,Mast cells,0.002916666666666667
24,P31-B1,Monocytes/Macrophages,0.4175
24,P31-B1,Neutrophils,0.07958333333333334
24,P31-B1,Pericytes,0.0
24,P31-B1,Plasma cells,0.0077083333333333335
24,P31-B1,T/NK cells,0.36854166666666666
25,P32-B1,B cells,0.008437270726338958
25,P32-B1,Dendritic cells,0.00036683785766691124
25,P32-B1,Endothelial cells,0.0
25,P32-B1,Epithelial cells,0.0020176082171680116
25,P32-B1,Fibroblasts,0.0
25,P32-B1,Hepatocytes,0.0
25,P32-B1,Mast cells,0.0012839325018341892
25,P32-B1,Monocytes/Macrophages,0.08125458547322084
25,P32-B1,Neutrophils,0.7551357300073368
25,P32-B1,Pericytes,0.0
25,P32-B1,Plasma cells,0.005135730007336757
25,P32-B1,T/NK cells,0.14636830520909758
26,P09-M1,B cells,0.00020100502512562814
26,P09-M1,Dendritic cells,0.013668341708542713
26,P09-M1,Endothelial cells,0.3282412060301508
26,P09-M1,Epithelial cells,0.3001005025125628
26,P09-M1,Fibroblasts,0.0657286432160804
26,P09-M1,Hepatocytes,0.0020100502512562816
26,P09-M1,Mast cells,0.0006030150753768845
26,P09-M1,Monocytes/Macrophages,0.20904522613065327
26,P09-M1,Neutrophils,0.0018090452261306533
26,P09-M1,Pericytes,0.03879396984924623
26,P09-M1,Plasma cells,0.0
26,P09-M1,T/NK cells,0.03979899497487437
27,P28-LN1_1,B cells,0.3491955276793019
27,P28-LN1_1,Dendritic cells,0.004499590946277611
27,P28-LN1_1,Endothelial cells,0.004772293427870194
27,P28-LN1_1,Epithelial cells,0.006817562039814562
27,P28-LN1_1,Fibroblasts,0.000545404963185165
27,P28-LN1_1,Hepatocytes,0.0
27,P28-LN1_1,Mast cells,0.0008181074447777475
27,P28-LN1_1,Monocytes/Macrophages,0.011317152986092174
27,P28-LN1_1,Neutrophils,0.0009544586855740388
27,P28-LN1_1,Pericytes,0.0
27,P28-LN1_1,Plasma cells,0.011317152986092174
27,P28-LN1_1,T/NK cells,0.6097627488410144
28,P35-LN1_2,B cells,0.42201834862385323
28,P35-LN1_2,Dendritic cells,0.012267975250693407
28,P35-LN1_2,Endothelial cells,0.14284190313633455
28,P35-LN1_2,Epithelial cells,0.002560273095796885
28,P35-LN1_2,Fibroblasts,0.0014934926392148496
28,P35-LN1_2,Hepatocytes,0.0
28,P35-LN1_2,Mast cells,0.00480051205461916
28,P35-LN1_2,Monocytes/Macrophages,0.007040751013441433
28,P35-LN1_2,Neutrophils,0.0009601024109238319
28,P35-LN1_2,Pericytes,0.004480477917644549
28,P35-LN1_2,Plasma cells,0.018028589716236398
28,P35-LN1_2,T/NK cells,0.38350757414124176
29,P29-PLN1,B cells,0.049093240520241804
29,P29-PLN1,Dendritic cells,0.00842645173108628
29,P29-PLN1,Endothelial cells,0.019234291994870856
29,P29-PLN1,Epithelial cells,0.640318739695915
29,P29-PLN1,Fibroblasts,0.07373145264700495
29,P29-PLN1,Hepatocytes,0.0024729803993405386
29,P29-PLN1,Mast cells,0.017952005861879464
29,P29-PLN1,Monocytes/Macrophages,0.04716981132075472
29,P29-PLN1,Neutrophils,0.02747755999267265
29,P29-PLN1,Pericytes,0.0015570617329181168
29,P29-PLN1,Plasma cells,0.02527935519325884
29,P29-PLN1,T/NK cells,0.08728704891005679
30,P30-LN1_2,B cells,0.39870190078813167
30,P30-LN1_2,Dendritic cells,0.0038247566063977748
30,P30-LN1_2,Endothelial cells,0.23064441353732035
30,P30-LN1_2,Epithelial cells,0.004288363467779323
30,P30-LN1_2,Fibroblasts,0.0004636068613815484
30,P30-LN1_2,Hepatocytes,0.0
30,P30-LN1_2,Mast cells,0.0001159017153453871
30,P30-LN1_2,Monocytes/Macrophages,0.0026657394529439036
30,P30-LN1_2,Neutrophils,0.0
30,P30-LN1_2,Pericytes,0.0005795085767269356
30,P30-LN1_2,Plasma cells,0.012285581826611033
30,P30-LN1_2,T/NK cells,0.3464302271673621
31,P31-LN1_2,B cells,0.3936269915651359
31,P31-LN1_2,Dendritic cells,0.007146204311152765
31,P31-LN1_2,Endothelial cells,0.001991565135895033
31,P31-LN1_2,Epithelial cells,0.011715089034676664
31,P31-LN1_2,Fibroblasts,0.0
31,P31-LN1_2,Hepatocytes,0.0
31,P31-LN1_2,Mast cells,0.00023430178069353328
31,P31-LN1_2,Monocytes/Macrophages,0.0014058106841611997
31,P31-LN1_2,Neutrophils,0.0
31,P31-LN1_2,Pericytes,0.0
31,P31-LN1_2,Plasma cells,0.00902061855670103
31,P31-LN1_2,T/NK cells,0.5748594189315839
32,P32-PLN1,B cells,0.06334278403983128
32,P32-PLN1,Dendritic cells,0.004563999723393956
32,P32-PLN1,Endothelial cells,0.0019362423068944056
32,P32-PLN1,Epithelial cells,0.3503907060369269
32,P32-PLN1,Fibroblasts,0.00027660604384205796
32,P32-PLN1,Hepatocytes,0.0008298181315261738
32,P32-PLN1,Mast cells,0.0074683631837355645
32,P32-PLN1,Monocytes/Macrophages,0.19673604868266373
32,P32-PLN1,Neutrophils,0.0022128483507364636
32,P32-PLN1,Pericytes,0.0004149090657630869
32,P32-PLN1,Plasma cells,0.05179448170942535
32,P32-PLN1,T/NK cells,0.32003319272526104
